2023 Index,Street Name,Limit 1,Limit 2,Full Name,Facility Type,Ped_Total,Ped_Female,Ped_Male,Ped_MobAssist,Ped_Stroller,Ped_Weekday,Ped_Weekday_Female,Ped_Weekday_Male,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_Male,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female,Bike_Male,Bike_Sidewalk,Bike_ContraFlow,Bike_Bikeshare,Bike_Helmet,Bike_Weekday_Total,Bike_Weekday_Female,Bike_Weekday_Male,Bike_Weekday_Sidewalk,Bike_Weekday_ContraFlow,Bike_Weekday_Bike_Weekdayshare,Bike_Weekday_Helmet,Bike_Weekend_Total,Bike_Weekend_Female,Bike_Weekend_Male,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Bike_Weekendshare,Bike_Weekend_Helmet,Scooter_Total,Scooter_Female,Scooter_Male,Scooter_Sidewalk,Scooter_ContraFlow,Scooter_Helmet,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Male,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Male,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet,Other_Total,Other_Female,Other_Male,Other_Sidewalk,Other_ContraFlow,Other_Helmet,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Male,Other_Weekday_Sidewalk,Other_Weekday_ContraFlow,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Male,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet
23-97,Reseda Blvd,Plummer St,Vicennes St,Reseda Blvd bw Plummer St & Vincennes St,Lane,418,189,229,6,9,296,138,158,6,6,122,51,71,0,3,34,5,29,13,2,0,16,27,4,23,11,2,0,12,7,1,6,2,0,0,4,5,3,2,2,0,2,1,0,1,0,0,0,4,3,1,2,0,2,22,0,22,21,0,0,21,0,21,20,0,0,1,0,1,1,0,0
23-45,Reseda Blvd,Wyandotte St,Sherman Way,Reseda Blvd bw Wyandotte St & Sherman Way,Route,255,101,154,4,0,184,75,109,3,0,71,26,45,1,0,56,0,56,35,2,0,13,40,0,40,30,0,0,7,16,0,16,5,2,0,6,4,1,3,3,1,1,3,1,2,2,1,1,1,0,1,1,0,0,6,1,5,5,0,0,6,1,5,5,0,0,0,0,0,0,0,0
21-65,Riverside Dr,Fletcher Dr,Clearwater St,Riverside Dr bw Fletcher Dr & Clearwater St,Route,162,50,112,0,0,81,25,56,0,0,81,25,56,0,0,40,0,40,10,0,0,26,20,0,20,5,0,0,13,20,0,20,5,0,0,13,2,0,2,2,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-46,Roscoe Blvd,Van Nuys Bl,Tobias Av,Roscoe Blvd bw Van Nuys Bl & Tobias Av,None,102,42,60,0,3,,,,,,102,42,60,0,3,3,0,3,3,0,0,0,,,,,,,,3,0,3,3,0,0,0,1,0,1,1,0,0,0,,,,,,1,0,1,1,0,0,2,0,2,2,0,0,,,,,,,2,0,2,2,0,0
23-47,Rosewood Ave,Fairfax Ave,Orange Grove Ave,Rosewood Ave bw Fairfax Ave & Orange Grove Ave,None,733,314,419,3,2,348,131,217,3,1,385,183,202,0,1,34,6,28,9,0,0,14,23,3,20,9,0,0,9,11,3,8,0,0,0,5,13,0,13,3,0,2,12,0,12,3,0,1,1,0,1,0,0,1,5,0,5,3,0,1,3,0,3,3,0,0,2,0,2,0,0,1
23-48,Rowena Ave,Herkimer St,Silver Lake Dr,Rowena Ave bw Herkimer St & Silver Lake Dr,Lane,"1,156",517,639,1,38,"1,023",498,525,1,35,133,19,114,0,3,85,14,71,11,3,0,52,65,14,51,11,2,0,49,20,0,20,0,1,0,3,4,0,4,0,0,1,2,0,2,0,0,0,2,0,2,0,0,1,9,2,7,6,1,3,9,2,7,6,1,3,0,0,0,0,0,0
23-90,San Fernando Bike Path,Tuxford St,Pendleton St,San Fernando Bike Path bw Tuxford St & Pendleton St,Path,29,10,19,0,0,25,10,15,0,0,4,0,4,0,0,45,0,45,0,0,0,16,37,0,37,0,0,0,15,8,0,8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-51,Santa Monica Blvd,Western Ave,St Andrews,Santa Monica Blvd bw Western Ave & St Andrews Pl,None,"1,516",643,873,8,29,"1,099",477,622,5,27,417,166,251,3,2,115,20,95,97,0,0,28,87,6,81,78,0,0,8,28,14,14,19,0,0,20,32,6,26,25,0,3,23,6,17,17,0,3,9,0,9,8,0,0,8,0,8,8,0,0,4,0,4,4,0,0,4,0,4,4,0,0
23-52,Santa Monica Blvd,Westwood Blvd,Glendon Ave,Santa Monica Blvd bw Westwood Blvd & Glendon Ave,Lane,438,168,270,1,11,315,124,191,1,5,123,44,79,0,6,197,18,179,24,2,0,149,123,9,114,18,1,0,100,74,9,65,6,1,0,49,23,3,20,7,1,3,12,1,11,3,0,2,11,2,9,4,1,1,3,0,3,3,0,0,1,0,1,1,0,0,2,0,2,2,0,0
23-53,Sepulveda Blvd,Nordhoff St,Tupper St,Sepulveda Blvd bw Nordhoff St & Tupper St,None,657,261,396,5,15,483,192,291,3,13,174,69,105,2,2,27,0,27,19,2,0,4,18,0,18,15,0,0,2,9,0,9,4,2,0,2,2,0,2,2,0,0,1,0,1,1,0,0,1,0,1,1,0,0,3,0,3,3,0,0,3,0,3,3,0,0,0,0,0,0,0,0
